team, Date, OPPONENT, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine, REC_YD, result, OverUnder, Spread, ReceptionsPG, PlaysPG, TargetsPG, ExpectedPointsPG, PointsPG, NetYdsPerPassAtt, RushYdsPG, RushYdsPerAtt, RushFirstDownsPG, RecTDPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, passYPG, recYPG1, recYPG2, medianPassYPG, medianRecYPG1, medianRecYPG2
Tom Brady Mike Evans Chris Godwin, 11/27, cle, 261.5, 246, 60.5, 31, 58.5, 110, 0, 42, -3.0, 9.94, 61.20, 16.70, -3.41, 22.40, 6.00, 135.00, 4.70, 7.59, 0.88, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 56.00, 17.10, 312.70, 64.70, 78.80, 290.00, 81.00, 61.00
Tom Brady Mike Evans Chris Godwin, 12/05, nor, 268.5, 281, 61.5, 59, 72.5, 63, 0, 40, -3.5, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.90, 3.20, 312.70, 64.70, 78.80, 280.00, 71.00, 61.00
Tom Brady Mike Evans Chris Godwin, 12/11, sfo, 250.5, 253, 50.5, 44, 57.5, 54, 0, 38, 3.5, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 53.30, 8.80, 312.70, 64.70, 78.80, 281.00, 71.00, 63.00
Tom Brady Mike Evans Chris Godwin, 12/18, cin, 272.5, 312, 56.5, 83, 70.5, 83, 2, 48, 3.5, 10.60, 62.30, 17.90, -1.25, 20.10, 6.20, 106.60, 4.20, 6.38, 0.69, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 67.90, 10.10, 312.70, 64.70, 78.80, 280.00, 59.00, 61.00
Tom Brady Mike Evans Chris Godwin, 12/25, ari, 275.5, 281, 60.5, 29, 67.5, 63, 0, 42, -7.5, 12.40, 63.20, 19.20, -4.81, 26.40, 6.20, 118.60, 4.50, 7.29, 0.65, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 70.00, 0.00, 312.70, 64.70, 78.80, 281.00, 71.00, 63.00
Tom Brady Mike Evans Chris Godwin, 01/01, car, 281.5, 432, 60.5, 207, 67.5, 120, 2, 41, -3.5, 14.40, 64.90, 21.20, -3.06, 22.00, 6.30, 122.60, 4.30, 7.35, 0.88, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 71.90, 5.30, 312.70, 64.70, 78.80, 281.00, 59.00, 63.00
Justin Herbert Mike Williams Josh Palmer, 09/11, lvr, 285.5, 279, 56.5, 10, 29.5, 5, 1, 52, -3.5, 12.20, 63.40, 18.50, -7.77, 24.60, 6.70, 122.80, 4.50, 7.41, 0.76, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 70.00, 0.00, 294.90, 71.60, 20.80, 294.90, 71.60, 20.80
Justin Herbert Mike Williams Josh Palmer, 09/15, kan, 283.5, 334, 66.5, 113, 45.5, 30, 0, 52, 4.0, 13.10, 64.30, 20.20, -3.86, 21.70, 5.60, 107.20, 4.40, 6.00, 1.18, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 77.30, 5.80, 294.90, 71.60, 20.80, 279.00, 10.00, 5.00
Justin Herbert Mike Williams Josh Palmer, 09/25, jax, 241.5, 297, 69.5, 15, 44.5, 99, 0, 46, -6.5, 11.60, 65.10, 19.10, -3.07, 20.60, 6.40, 114.80, 4.20, 6.71, 1.06, 5.40, 1.59, 0.76, 20.60, 22.60, 35.40, 1.47, 0.82, 12.40, 5.29, 1.47, 36.10, 353.30, 70.00, 0.00, 294.90, 71.60, 20.80, 334.00, 113.00, 30.00
Justin Herbert Mike Williams Josh Palmer, 10/02, hou, 270.5, 340, 58.5, 120, 49.5, 25, 0, 46, -5.5, 10.30, 66.70, 16.00, -4.73, 24.70, 6.30, 170.20, 5.10, 8.82, 0.35, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 70.00, 0.00, 294.90, 71.60, 20.80, 297.00, 15.00, 30.00
